"ID";"LATITUDE";"LIBELLE";"LONGITUDE";"COLLECTIVITE_ID";"QUARTIER_ID"
1;0;"ECOLE AMADOU WORE DIAGNE (BOPP)";0;1;0
2;0;"ECOLE BISCUITERIE";0;1;0
3;0;"ECOLE CHEIKH M SAKHO O NIAYES 2";0;1;0
4;0;"ECOLE IMAM ABDOU NDIAYE (CERF VOLAN";0;1;0
5;0;"ECOLE MASSIGA SENE (EX NGUELAW)";0;1;0
6;0;"ECOLE OUAGOU NIAYES 1";0;1;0
7;0;"ETAT CIVIL BOURGUIBA";0;1;0
8;0;"ECOLE CAMBERENE 3";0;2;0
9;0;"ECOLE SEYDINA ISSA LAYE (CAMBERENE)";0;2;0
10;0;"ECOLE IBRAHIMA KOITE (DIEUPPEUL)";0;3;0
11;0;"ECOLE IBRAHIMA SECK B";0;3;0
12;0;"GROUPE SCOLAIRE DERKLE 2";0;3;0
13;0;"BUREAU DE COORDINATION TECHNIQUE";0;4;0
14;0;"CENTRE DE FORMATION COMMUNALE";0;4;0
15;0;"COLLEGE ENSEIG FRANCO-ARABE POINT E";0;4;0
16;0;"ECOLE JOSEPH GOMIS";0;4;0
17;0;"ECOLE MAMADOU B MB DIOP (ZONE B)";0;4;0
18;0;"ECOLE POINT E 2";0;4;0
19;0;"GROUPE SCOLAIRE RUE 10";0;4;0
20;0;"ECOLE LEOPOLD ANGRAND (GOREE)";0;5;0
21;0;"C.E.M. ALIOUNE DIOP";0;6;0
22;0;"ECOLE ISSA KANE (BASSAM GOUMBA)";0;6;0
23;0;"ECOLE MAGUETTE C. SARR (TAIBA G D)";0;6;0
24;0;"ECOLE ROUTE DES PUITS";0;6;0
25;0;"ANNEXE ECOLE ALINE SITOE DIATTA";0;7;0
26;0;"BUREAU DE POSTE GRAND YOFF";0;7;0
27;0;"ECOLE CITE SIPRES 1";0;7;0
28;0;"ECOLE GRAND YOFF 2";0;7;0
29;0;"ECOLE HLM GRAND-YOFF";0;7;0
30;0;"ECOLE HLM PATTE D'OIE";0;7;0
31;0;"ECOLE KALIDOU SY";0;7;0
32;0;"ECOLE KHAR YALLA";0;7;0
33;0;"ECOLE MOR FALL (GRAND YOFF)";0;7;0
34;0;"ECOLE PRIVEE ASSAFIN";0;7;0
35;0;"ECOLE SCAT URBAM";0;7;0
36;0;"FOYER DES JEUNES DE GRAND YOFF";0;7;0
37;0;"ECOLE ADJA WARATH DIENE (FANN GT)";0;8;0
38;0;"ECOLE ALIEU CODOU NDOYE (GUELE TAPE";0;8;0
39;0;"ECOLE AMADOU LAMINE DIENE(EX MED RE";0;8;0
40;0;"ECOLE DIARAF IBRA PAYE (EX MANGU 3)";0;8;0
41;0;"ECOLE EH IBRAHIMA BEYE (COLOBANE)";0;8;0
42;0;"ECOLE MANGUIERS 2";0;8;0
43;0;"ECOLE OUMAR BEN KHATAB DIA (PR FASS";0;8;0
44;0;"ECOLE SACOURA BADIANE";0;8;0
45;0;"ECOLE AYNINA FALL (EX HLM 2)";0;9;0
46;0;"ECOLE HLM 4 E";0;9;0
47;0;"ECOLE LION";0;9;0
48;0;"GROUPE SCOLAIRE HLM C ET D";0;9;0
49;0;"H.L.M 4 A";0;9;0
50;0;"H.L.M 4 B";0;9;0
51;0;"CAMP ABDOU DIASSE";0;10;0
52;0;"CEM DE HANN";0;10;0
53;0;"COURS SAINTE MARIE DE HANN";0;10;0
